RegionName,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20
Jefferson County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121360,122624,123692,125064,125781,126063,126468,126901,127196,127524,127710,127808,127798,127361,126794,126910,127549,128436,129127,129596,130094,130237,130506,130775,131245,131432,131357,131165,131285,131667,131868,132123,132312,132724,132928,133133,133072,133015,132766,132665,132686,132805,132850,132837,132897,132852,132804,132652,132615,132537,132438,132251,131984,131660,131226,130774,130403,130263,130162,130112,130060,129912,129849,129700,129606,129446,129321,129313,129185,128938,128629,128300,127859,127729,127593,127816,127804,127917,128066,128019,128031,127832,127808,127763,127884,127935,128032,127744,127621,127391,127413,127441,127448,127491,127531,127650,127717,127690,127637,127875,128049,128404,128431,128644,128683,129057,129366,129776,130083,130420,130773,131027,131277,131354,131572,131852,132319,132599,132773,132878,133079,133257,133476,133794,134444,135313,136045,136566,136867,137274,137736,138207,138694,139341,140011,140551,140880,140917,141115,141301,142026,142652,143436,144084,144630,145000,145324,145925,146443,147064,147546,148323,149009,149723,150317,150884,151655,152393,153124,153317,153615,154013,154814,155619,156260,156882,157400,157988,158492,159065,159641,160496,161325,162058,162497,162777,163110,163450
Union County,64691,64778,64935,65312,65803,66154,66292,66329,66396,66442,66622,66916,67257,67634,68057,68401,68701,68987,69339,69789,70272,70705,70900,70980,71278,71863,72332,72400,72203,72352,73039,73809,74634,75568,76595,77541,78189,78248,78009,77949,78218,78667,78824,79026,78795,78635,78622,78654,78461,78389,78771,79077,79428,79504,79685,79861,80099,80376,80141,80181,80366,80832,81039,81417,81666,81901,81842,81735,81913,82204,82783,83110,83378,83640,83998,84315,84456,84612,84923,85326,85625,85753,85963,86219,86587,86800,86949,86951,87187,87435,87922,88271,88645,88907,89200,89500,89934,90348,90903,91470,92018,92569,92959,93397,93856,94462,95117,95806,96443,97198,97911,98780,99459,100052,100500,101109,101681,102377,102977,103675,104243,104769,105241,105665,106292,107003,107838,108456,109037,109448,109839,110153,110666,111018,111335,111531,111814,112094,112304,112507,112739,112979,113133,113113,112839,112656,112504,112493,112426,112394,112331,112227,112007,111701,111506,111294,111146,110890,110650,110244,109631,108969,108453,108103,107862,107826,107874,108077,108178,108225,108171,108142,108208,108206,108110,107950,107748,107303,106769,106201,105886,105687,105566,105533,105524,105544,105588,105524,105557,105556,105635,105703,105766,105960,106138,106377,106460,106469,106499,106580,106754,106922,107068,107294,107456,107568,107713,107948,108454,109135,109584,110211,110615,111260,111751,112157,112672,113139,113677,113873,114045,114243,114774,115096,115608,116190,116964,117569,118006,118422,118787,119298,119829,120485,121117,121813,122147,122366,122559,123186,123755,124326,124846,125591,126270,126717,127119,127676,128567,129486,130280,130898,131665,132581,133582,134340,135057,135673,136219,136682,137288,137771,138397,138947,139712,140365,141117,141888,142721,143591,144484,145263,145787,146414,147045,147747,148183,148622,148943,149310,149645,150031,150419,150868,151343,151759
Hancock County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84215,83761,83637,83114,82632,81806,81373,80574,79701,78795,78191,78183,77748,77866,77354,77398,77325,77655,77507,77857,78405,78833,78758,78207,78426,78145,78186,77409,77104,77153,77256,77429,77649,78197,79090,79159,79091,78568,78650,79041,79087,78877,78889,79137,79513,79930,80232,81128,81748,83008,83609,83987,84115,84199,84356,84483,84582,84544,84518,84280,84155,84016,83988,84210,84396,84837,85077,85231,85438,85730,86041,86357,86737,86912,87235,87464,87916,88260,88692
Benton County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97890,99427,100476,102167,102860,102112,101039,100000,99996,100192,99755,98881,97609,96028,93914,92549,91948,92970,93826,94526,94055,92884,91910,91240,90858,89965,89528,88491,87931,87076,86492,85893,84632,83602,83010,82923,83412,83763,84003,83642,83138,82935,83649,83971,84892,85974,87295,87684,87353,87013,86876,87538,88208,88373,86641,85428,84245,84313,84237,84756,84716,84746,84753,85155,85596,85925,86830,87153,87435,86604,85031,83739,83140,83337,83312,82958,82463,82325,82471,83065,83633,84163,85043,85545,85858,85742,85741,85770,85920,85938,86204,86424,86796,87456,88195,88577,89003,89362,89968,90199,90311,90592,90676,90651,90856,90820,90957,91012,91177,91095,91218,91677,92432,92548,92713,92772,92244,91710,91479,92428,93601,95064,95936,96645,96941,97522,97850,98290,98956,99918,100710,101003,101433,101632,102264,102589,103096,103626,104290,104861,105431,105743,105935,105868,105496
Green Lake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133899,133908,133973,133813,133678,133649,133477,133473,133296,133585,133650,133243,131587,129925,128493,128362,127911,126962,125845,124557,123469,122160,121051,120512,121232,122218,122998,122481,121996,121863,122182,122320,122463,122021,121724,121538,121633,121086,120261,119552,119383,119349,119321,119504,119764,119966,120081,119867,119981,120448,121020,121421,121611,121617,121428,121170,120959,121092,121248,121589,121535,121434,121349,121369,121500,121522,121690,121894,122002,122112,122140,122394,122353,122376,122400,122657,122850,123152,123343,123384,123650,123877,124143,124106,124369,124826,125236,125680,125958,126482,126910,127592,128119,128657,129265,129783,130227,130478,130780,131040,131351,131659,132276,132960,133254,133732,134021,134557,134904,135275,135977,136581,137389,137833,138313,138541,139125,139362,139803,140334,141085,141624,142040,142589,143132,143586,143893,144456,145104,145811,146647,147402,148048,148673,149207,149806,150297,151032,151796,152463,152967,153560,153980,154364,154762
Houston County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150077,150585,150116,149934,149839,150808,152016,153224,154421,155299,155887,156382,156889,157081,157995,159158,160418,160243,159635,158883,158188,157792,157591,157564,157416,157393,157777,157794,157257,156580,155980,155590,155054,154688,154621,154448,154377,153859,153232,152430,151867,151268,150747,150184,149723,149280,148841,148259,147408,146482,145605,144816,144075,143225,142218,141297,140565,140098,139601,139436,139406,139480,139461,139322,139080,138534,138186,137730,137107,136151,135212,134467,133697,133148,132875,132884,132884,133105,133247,133477,133819,134180,134524,134545,134718,134964,135149,135404,135718,136081,136472,136972,137585,138269,139018,139890,140840,141620,142428,142986,143710,144406,145144,145717,146176,146707,147215,147796,148329,148927,149491,150174,150770,151349,151864,152435,153047,153708,154476,155213,155913,156595,157332,158178,159041,159962,161046,162098,163204,164117,165006,165927,166857,167875,168875,169846,170851,171858,172799,173816,174790,175929,177149,178230,179363,180358,181408,182420,183418,184461,185390,186417,187687,189023,190259,191310,192370,193428,194459,195396,196067,196753,197447,198116,199068,199976,200953,201651,202333,203133,203881,204672,205611,206460,207323,208096,208482,208795,209044
Arkansas County,36957,37012,37075,37044,37100,37186,37333,37474,37625,37730,37683,37594,37597,37703,37926,38026,38171,38190,38321,38457,38694,39068,39578,40363,40878,41250,41356,41869,42118,42593,42837,42987,43022,42886,43171,43256,43289,43035,42964,43093,43237,43339,43282,43577,43740,44068,44287,44557,44854,45158,45400,45498,45685,45892,46239,46668,47195,47782,47865,47967,48055,48595,49049,49438,49708,49979,50298,50324,50373,50258,50463,50695,51066,51220,51425,51535,51744,51911,52000,52124,52253,52521,52747,52904,53005,53215,53467,53779,54009,54295,54616,54941,55254,55508,55843,56114,56386,56534,56720,56902,57231,57510,57857,58191,58515,58782,58953,59292,59729,60144,60464,60743,61024,61292,61522,61744,62000,62287,62628,62876,63015,63206,63484,63802,63996,64184,64324,64533,64708,64921,65061,65195,65339,65479,65598,65590,65673,65726,65877,65910,65844,65762,65626,65567,65424,65293,65072,65045,64965,65003,64893,65080,65331,65448,65530,65338,65259,64998,64904,64717,64449,64034,63771,63173,62661,62199,62090,62146,62127,62152,62023,61910,61852,61887,61737,61574,61376,61287,61061,60877,60737,60779,60799,60837,60873,60915,61019,61268,61385,61437,61362,61414,61535,61610,61781,61935,62151,62304,62495,62678,63007,63349,63697,63839,63886,63945,64079,64183,64234,64196,64197,64132,64212,64353,64654,64957,65291,65525,65636,65736,65870,66260,66660,67046,67234,67361,67400,67435,67478,67602,67799,68015,68239,68408,68575,68781,68870,68985,69069,69293,69452,69586,69743,70055,70280,70293,70208,70276,70571,70746,70860,70932,71217,71610,71899,72017,72178,72585,73030,73405,73650,74131,74687,75151,75309,75281,75311,75422,75609,75721,75893,76014,76096,76142,76162,76374,76629,76983,77345,77704,78009,78309,78579,78913,79322,79689
Perry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101542,102101,102879,104214,105665,106850,108004,108957,109658,109900,110029,109992,110355,110647,110807,110751,110346,110189,109893,109881,109975,110492,110930,111635,111698,111913,111810,111991,112179,112231,112292,112071,112034,112020,112091,111777,111356,111033,110830,110640,110387,110290,110180,110050,109716,109410,109125,108939,108813,108586,108385,108082,107808,107579,107500,107471,107276,107066,106818,106756,106634,106668,106549,106401,106014,105745,105403,105212,104703,104123,103651,103574,103674,103640,103848,104101,104563,104683,104812,104879,106003,107188,108401,108593,108806,108965,109146,109232,109437,109674,109959,110099,110003,109922,109782,110042,110191,110507,110542,110699,110624,110777,110925,111297,111496,111750,111953,112195,112433,112684,113206,113646,114089,114425,114805,115184,115501,115731,116065,116356,116691,116966,117197,117733,118368,118968,119359,119602,119815,120124,120382,120892,121432,122008,122592,122864,123206,123511,124060,124691,125357,126007,126740,127484,128161,128740,129238,129689,130192,130846,131618,132421,133313,134227,134937,135524,136042,136777,137438,138164,138642,139051,139380,139799,140286,140793,141432,142005,142677,143229,143883,144571,145415,146253,147059,147782,148417
New Madrid County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61283,61309,61753,62366,63251,63666,63759,63675,63768,64144,64572,65216,65803,66448,66530,66619,66297,66430,66798,67374,67619,67498,67390,67059,66779,66564,66561,66499,66399,66368,66619,66795,66997,66999,66740,66317,65888,65714,65374,65083,64758,64873,64821,64768,64644,64580,64502,64255,63984,63658,63440,63223,63102,62813,62635,62501,62456,62431,62432,62607,62642,62686,62691,62655,62431,62177,61941,61810,61556,61270,60960,60727,60662,60631,60673,60780,60913,61017,61009,60939,60923,60960,61010,60987,60865,60818,60752,60724,60740,60757,60806,60800,60819,60837,60932,60996,61107,61069,61095,61074,61133,61185,61318,61443,61620,61838,62037,62309,62540,62809,62992,63179,63356,63515,63643,63773,63894,63900,63918,64101,64462,64851,65112,65316,65498,65740,66016,66362,66691,66996,67278,67174,67040,66939,67162,67431,67728,68017,68286,68535,68781,69130,69413,69783,70087,70372,70567,70710,70834,70985,71259,71462,71696,71842,72076,72524,72992,73518,73791,74191,74540,74790,75107,75372,75808,75979,76231,76284,76329,76298,76411,76407,76403,76416,76273,76155,75845
Poweshiek County,70633,70559,70518,70631,70847,71122,71338,71642,72027,72476,72868,73047,73134,73261,73456,73777,74074,74406,74702,75046,75491,75684,75692,76169,77240,78810,80238,81095,81617,82060,82843,83438,83742,84418,85566,86747,87195,86900,86744,86733,87289,87733,88116,88492,88936,89409,89737,89810,90109,90601,91134,91625,91978,92313,92548,92903,93338,93934,94244,94563,94806,95142,95386,95645,95878,96256,96623,96958,97230,97323,97550,97846,98151,98437,98754,99170,99527,99777,100120,100451,100892,101098,101369,101546,101867,102185,102566,102953,103327,103780,104245,104642,104957,105106,105549,106035,106677,107100,107454,107824,108255,108754,109137,109593,109985,111110,111565,112078,111985,112532,113075,113643,114060,114341,114566,114769,115052,115065,115411,115696,116285,116524,116792,117010,117296,117579,117900,118229,118543,118672,118847,119076,119473,119662,119997,120320,120848,120991,121039,121074,121326,121705,121986,122125,121951,121914,121688,121571,121123,121318,121768,122239,122273,122498,122863,123274,123449,123523,123542,123171,122919,122531,122267,121957,121898,121398,120809,120158,120016,119935,119777,119851,120014,120164,119906,119670,119304,119010,118675,118534,118450,118403,118281,118261,118149,118051,118066,118047,118207,118377,118663,118860,118914,118942,119334,119770,120273,120662,121024,121437,121662,122048,122168,122178,122182,122332,122469,122498,122586,122660,122914,123090,123399,123538,123953,124512,125120,125650,126040,126375,126581,126975,127337,127812,128170,128585,128846,129159,129460,129832,130317,130980,131654,132033,132342,132679,133012,133394,133813,134214,134574,134834,135055,135198,135484,135946,136399,136761,137204,137715,138287,138765,139260,139809,140076,140274,140307,140592,140932,141367,141895,142427,142834,143226,143574,143929,144349,144722,145203,145495,145832,146141,146520,146871,147258,147676,148097,148503,148990,149548,150062,150567,151012,151450,151776,152111
Harrison County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70261,70310,70398,70402,70295,70152,70060,70006,69932,69905,69859,69871,69859,69760,69487,69352,69383,69407,69306,69200,69069,68849,68728,68591,68598,68666,68776,68897,68848,68903,69001,69046,69197,69302,69301,69175,68868,68538,68359,68077,68062,67965,67954,67817,67575,67506,67384,67303,67220,67093,66889,66745,66752,66697,66551,66594,66674,66746,66673,66777,66939,67156,67306,67342,67190,67122,67149,67280,67406,67410,67516,67556,67591,67579,67566,67883,68231,68756,69273,69306,69346,69372,69759,69987,70274,70592,70983,71197,71434,71695,71865,72123,72313,72570,72835,73250,73522,73791,74163,74601,75069,75187,75513,76112,76949,77803,78169,78478,79016,79735,80300,80678,80988,81380,81430,81642,81608,81896,82573,83836,85165,86272,86737,86486,85830,86069,87250,88062,89091,89820,91307,92290,93385,94330,95699,97570,99695,100925,101289,101595,101615,101527,100517,99429,97932
Otero County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63301,62993,63106,63202,63652,63982,64339,64608,64917,65169,65362,65446,65470,65840,66022,66222,65927,65739,65425,65275,65050,64908,64841,64860,65032,65186,65254,65149,64980,64979,65083,65085,65067,65028,65008,65040,64877,64751,64680,64714,64825,64674,64539,64429,64400,64373,64243,64120,63999,63848,63572,63186,62770,62448,62222,61993,61822,61605,61494,61356,61339,61329,61377,61426,61333,61347,61301,61326,61197,61037,60844,60637,60453,60285,60068,59929,59941,59836,59647,59416,59370,59444,59503,59607,59669,59773,59932,60065,60197,60353,60667,60967,61299,61489,61779,62119,62579,63022,63423,63817,64192,64648,65012,65431,65760,66213,66593,66900,67146,67408,67797,68251,68705,69124,69565,70050,70561,71091,71684,72280,72830,73426,73946,74393,74782,75325,75965,76564,77032,77532,77960,78446,78891,79349,79834,80390,80986,81300,81493,81692,82114,82456,82964,83502,84178,84633,85072,85427,85877,86417,87027,87720,88372,89145,89619,90148,90520,91056,91444,91791,91968,92238,92474,93038,93436,94031,94547,95064,95446,95752,96100,96417,96716,96858,96921,96587,96261,95637
Wright County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95262,94881,94664,94268,94120,93987,94020,93793,93682,93420,93429,93445,93637,94127,94632,95034,95154,95334,95384,95754,96038,96666,97212,97970,98581,99005,99335,99816,100407,101330,102216,104262,106377,108714,109886,110557,110927,111427,112148,112923,113623,114076,114575,114266,113921,113356,113508,113869,114360
Haywood County,52348,52440,52519,52636,52752,52876,52973,53074,53186,53538,53896,54279,54515,54784,54977,55016,55115,55302,55601,55789,56004,55794,55756,55664,55925,55997,56280,56720,57080,57357,57527,57968,58320,58891,59311,59676,59699,59740,59791,60027,60341,60538,60791,60860,61041,61074,61209,61302,61453,61662,61950,62189,62328,62481,62539,62782,62989,63442,63656,63974,64207,64430,64519,64543,64676,64843,65002,65019,65051,65063,65207,65349,65586,65868,66119,66283,66403,66567,66800,67036,67233,67358,67482,67556,67664,67724,67811,67954,68181,68457,68749,68985,69234,69405,69601,69785,70022,70320,70673,71024,71328,71590,71848,72159,72497,72931,73372,73844,74203,74627,75073,75544,75888,76164,76448,76797,77185,77597,78024,78469,78947,79310,79633,79938,80317,80758,81157,81527,81773,82026,82267,82536,82774,82913,83000,83057,83249,83368,83503,83507,83580,83562,83430,83230,82981,82903,82828,82744,82512,82349,82218,82096,81885,81572,81345,81033,80770,80301,79821,79295,78815,78324,77871,77529,77245,77136,77036,77049,77015,77010,76955,76907,76796,76654,76397,76152,75890,75630,75313,75034,74777,74601,74478,74410,74419,74467,74501,74431,74365,74206,74158,73987,73894,73777,73779,73782,73784,73725,73722,73733,73710,73727,73630,73646,73653,73747,73694,73616,73553,73547,73637,73697,73890,74196,74569,74844,75013,75143,75285,75347,75394,75458,75357,75331,75269,75005,74770,74633,74685,74627,74579,74730,74950,75186,75432,75689,75879,76048,76162,76224,76262,76646,77149,77628,77881,78067,78395,78578,78838,79235,79748,80267,80680,80739,80757,80755,80896,81073,81215,81745,82157,82613,82802,83151,83413,83768,84096,84384,84716,85003,85293,85400,85648,85847,86242,86438,86725,87034,87345,87677,87933,88206,88450,88663,88797,88907
Pierce County,54436,54645,54818,55066,55259,55391,55617,55945,56325,56573,56628,56747,57180,57805,58337,58682,58851,59144,59151,59311,59667,60685,61863,62665,62599,61817,61396,61314,61901,62568,63737,64473,64755,64130,64241,64754,66320,67908,69414,70563,71330,71951,72193,72378,72728,73527,73851,74301,74270,74764,74967,75739,76356,77156,77664,78465,79163,79705,79977,79846,79810,79750,79957,79916,79992,79735,79842,79674,79786,79956,80271,80760,81005,81135,81154,81271,81441,81809,82065,82606,83048,83499,83725,83838,84207,84597,85028,85219,85311,85426,85509,85628,85729,85960,86461,87016,87473,87934,88421,89001,89558,90048,90652,91119,91679,92315,92954,93578,94063,94589,95205,95844,96397,96859,97347,97926,98522,99022,99536,100024,100682,101278,101839,102306,102961,103723,104533,105257,105925,106343,106705,107024,107391,107677,107813,108011,108287,108544,108904,109134,109393,109331,109136,108842,108574,108325,108126,107813,107451,107159,106479,105796,104915,104493,104049,103650,103024,102283,101441,100724,99965,99146,98267,97495,96721,96269,95903,95725,95542,95421,95271,94917,94426,93835,93418,92906,92503,91821,91180,90329,89442,88691,88123,87725,87376,87039,86700,86395,86111,85763,85475,85270,85243,85122,85029,85027,85137,85367,85678,86006,86379,86790,87200,87751,88318,89035,89565,90101,90594,91142,91641,92347,93080,93805,94369,94856,95452,95980,96684,97211,97850,98408,98969,99357,99772,100302,101057,101747,102335,102779,103175,103765,104286,104954,105632,106356,107021,107417,107836,108252,108892,109623,110574,111422,112323,112859,113459,114042,114602,115659,116545,117536,118012,118643,119169,119731,120307,121158,122067,123041,124027,124712,125298,125924,126847,127841,128569,129224,129584,130081,130493,131367,132298,133272,134063,134726,135389,135838,136435,137006,137720,138180,138583,138500,138286,138001
Adams County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100633,101704,102136,103589,104836,106460,108011,109317,110617,111711,113007,114209,115231,115840,116962,117992,119235,119801,120319,120980,121582,122268,122616,122990,123545,124059,124697,124821,124908,124835,124882,125021,125023,125103,124976,124773,124401,124024,123461,123063,122495,122063,121354,120638,119812,119003,118170,117280,116377,115524,114629,113654,112797,111940,111198,110516,110117,109811,109549,109293,109137,108976,108843,108689,108394,108057,107708,107381,106892,106170,105373,104780,104244,103801,103371,103089,102965,102874,102797,102739,102634,102710,102971,103201,103400,103453,103641,103908,104265,104655,105179,105736,106425,107151,107770,108460,109007,109792,110569,111371,112031,112722,113387,114079,114706,115341,116222,117023,118135,118958,119775,120317,121108,121872,122682,123432,124363,125321,126163,127035,127917,129082,130261,131694,133054,134456,135723,137032,138311,139609,140925,142284,143617,144874,146232,147488,148710,150032,151655,153363,154986,156526,158075,159724,161220,162743,164110,165660,167290,168854,170172,171323,172820,174544,176144,177375,178677,179936,181094,181971,182691,183172,183478,183890,184783,185543,186523,187173,187976,188718,189539,190419,191304,192306,193439,194488,194936,195331,195556
Dekalb County,68716,69063,69361,69688,69947,70280,70549,70901,71223,71641,72060,72490,72995,73519,74049,74467,74907,75249,75646,76013,76415,76774,77015,77343,77392,77507,77745,78042,78441,78773,79229,79497,79764,79783,79949,79873,80038,79901,79736,79763,79876,80104,80119,80122,80101,80256,80488,80743,80970,81348,81807,82146,82356,82533,82829,83403,83973,84495,84748,85147,85516,85996,86301,86468,86720,86923,87219,87261,87376,87517,87724,87816,87889,88044,88269,88650,88822,89141,89287,89593,89751,89898,90113,90385,90693,90807,90967,91150,91579,91849,92109,92199,92407,92647,92968,93300,93652,94088,94403,94602,94735,95076,95592,96248,96857,97558,97994,98540,98902,99451,100088,100893,101613,102061,102396,102796,103334,104155,104787,105333,105682,106160,106684,107277,108114,108898,109481,109695,109913,109363,109778,110173,111395,111688,111914,111688,111298,111194,111488,112057,112316,112718,112658,112498,111966,111855,111779,111910,111967,111942,111827,111678,111492,111340,111006,110785,110358,109974,109448,108861,108235,107575,106983,106477,106260,106203,106203,106303,106411,106536,106507,106575,106656,106658,106435,106122,105671,105246,104778,104119,103514,102964,102836,102668,102635,102598,102593,102554,102623,102620,102668,102665,102724,102818,102805,102953,103038,103234,103370,103483,103547,103596,103657,103806,104059,104345,104617,104685,104764,104779,105011,105268,105533,105967,106391,106915,107194,107537,107836,108264,108696,109263,109571,109919,110183,110316,110483,110601,111068,111386,111873,112332,112833,113163,113710,114392,115133,115846,116491,117154,117646,118130,118379,118664,118929,119369,119930,120502,121323,122320,123421,124417,125185,126011,126824,127619,128434,129323,130113,130701,131097,131398,131728,132213,132871,133651,134510,135404,136253,137009,137797,138681,139429,140100,140694,141315,141947,142459,142971,143471,144011,144557,145094,145652,146358,147134
Adair County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90168,90116,90185,90197,90163,89997,89764,89571,89513,89591,89542,88866,88174,87693,87595,87612,87724,88120,88652,89295,89841,90170,90660,92123,93715,95103,95739,96258,96742,97114,97594,97877,98129,98533,99079,99488,99784,100039,100533,100884,101370,101906,102228,102511,102622,102824,102993,103820,104628,105519,105779,106376,106827,107180,107544,107907,108330,108564,108675,108198,107674
